Company,VAN,Opening_Qty,Qty_Loaded,Qty_Sold,Stock_Left,Return_Rate_%
BIFA,BIFA LIV01,10082,20982,26718,4346,43.1
BIFA,BIFA LIV03,9539,16393,20301,5631,59.0
BIFA,BIFA LIV04,10709,17886,26800,1795,16.8
BIFA,BIFA LIV05,6373,18131,22854,1650,25.9
BIFA,BIFA PLIV02,10565,27483,33340,4708,44.6
BIFA,BIFA PSLIV01,0,17500,14200,3300,
DELISKY,DELISKY LIV01,1478,637,1229,886,59.9
DELISKY,DELISKY LIV02,1371,711,1241,841,61.3
NITA,NITA LIV01,0,1045,0,1045,
NITA,NITA LIV02,734,1007,864,877,119.5
NITA,NITA LIV03,773,754,685,842,108.9
