Company,VAN,Date,Client_Visits,Unique_Clients
BIFA,BIFA LIV01,2026-03-07,20,20
BIFA,BIFA LIV01,2026-03-08,18,18
BIFA,BIFA LIV01,2026-03-09,35,35
BIFA,BIFA LIV01,2026-03-10,26,26
BIFA,BIFA LIV01,2026-03-11,25,25
BIFA,BIFA LIV01,,55,50
BIFA,BIFA LIV03,2026-03-07,47,47
BIFA,BIFA LIV03,2026-03-08,23,23
BIFA,BIFA LIV03,2026-03-09,20,20
BIFA,BIFA LIV03,2026-03-10,32,32
BIFA,BIFA LIV03,2026-03-11,16,16
BIFA,BIFA LIV03,,84,79
BIFA,BIFA LIV04,2026-03-07,6,6
BIFA,BIFA LIV04,2026-03-08,27,27
BIFA,BIFA LIV04,2026-03-09,15,15
BIFA,BIFA LIV04,2026-03-10,18,18
BIFA,BIFA LIV04,2026-03-11,19,19
BIFA,BIFA LIV04,,105,97
BIFA,BIFA LIV05,2026-03-07,13,13
BIFA,BIFA LIV05,2026-03-08,30,30
BIFA,BIFA LIV05,2026-03-09,11,11
BIFA,BIFA LIV05,2026-03-10,20,20
BIFA,BIFA LIV05,2026-03-11,21,21
BIFA,BIFA LIV05,,81,79
BIFA,BIFA PLIV02,2026-03-06,131,131
BIFA,BIFA PLIV02,2026-03-07,131,131
BIFA,BIFA PLIV02,2026-03-08,131,131
BIFA,BIFA PLIV02,2026-03-09,131,131
BIFA,BIFA PLIV02,2026-03-10,131,131
BIFA,BIFA PLIV02,2026-03-11,131,131
BIFA,BIFA PLIV02,,33,33
BIFA,BIFA PSLIV01,,0,0
DELISKY,DELISKY LIV01,2026-03-07,6,6
DELISKY,DELISKY LIV01,2026-03-08,1,1
DELISKY,DELISKY LIV01,2026-03-09,5,5
DELISKY,DELISKY LIV01,2026-03-10,5,5
DELISKY,DELISKY LIV01,2026-03-11,7,7
DELISKY,DELISKY LIV01,,141,133
DELISKY,DELISKY LIV02,2026-03-07,7,7
DELISKY,DELISKY LIV02,2026-03-08,5,5
DELISKY,DELISKY LIV02,2026-03-10,14,13
DELISKY,DELISKY LIV02,2026-03-11,18,18
DELISKY,DELISKY LIV02,,165,158
NITA,NITA LIV01,,0,0
NITA,NITA LIV02,2026-03-07,6,6
NITA,NITA LIV02,2026-03-08,41,41
NITA,NITA LIV02,2026-03-09,42,42
NITA,NITA LIV02,2026-03-10,7,7
NITA,NITA LIV02,2026-03-11,2,2
NITA,NITA LIV02,,260,248
NITA,NITA LIV03,2026-03-07,24,24
NITA,NITA LIV03,2026-03-08,49,49
NITA,NITA LIV03,2026-03-09,16,16
NITA,NITA LIV03,2026-03-10,37,37
NITA,NITA LIV03,2026-03-11,20,20
NITA,NITA LIV03,,183,172
